benchmark,kind,domain,dwarf,framework,mode,details,validated,time
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode,True,0.07571346603799611
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode,True,0.07561348692979664
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode,True,0.0755901609081775
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode,True,0.07560214097611606
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode,True,0.07690105005167425
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode,True,0.07336334092542529
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode,True,0.07375419302843511
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode,True,0.07336460798978806
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode,True,0.07320450898259878
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode,True,0.073373005958274
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode_parallel,True,32.64524966594763
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode_parallel,True,32.668258563033305
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode_parallel,True,32.755729167954996
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode_parallel,True,30.592101652990095
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode_parallel,True,29.971131091937423
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode_parallel,True,30.456062915036455
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode_parallel,True,30.348577041062526
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode_parallel,True,29.855679314932786
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode_parallel,True,29.838021744042635
adi,microbench,Solver,structured_grids,Numba,main,nopython_mode_parallel,True,29.886158817098476
