benchmark,kind,domain,dwarf,framework,mode,details,validated,time
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.0018942180322483182
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.001731881988234818
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.0016913360450416803
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.0016847009537741542
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.001679428038187325
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.0016786920605227351
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.0016677739331498742
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.0016769450157880783
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.0016656810184940696
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.0016600990202277899
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.00207281403709203
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0018164420034736395
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0017240139422938228
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0017062150873243809
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.001656819018535316
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0016628379235044122
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0016681059496477246
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0016645420109853148
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0016760780708864331
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0016731630312278867
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0020576880779117346
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0017842300003394485
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0017042119288817048
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0016712399665266275
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0017280159518122673
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0016672740457579494
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0016822109464555979
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0016666559968143702
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0016749900532886386
atax,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0016720800194889307
