benchmark,kind,domain,dwarf,framework,mode,details,validated,time
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.0025170641019940376
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.0025466919178143144
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.0025356890400871634
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.002538122935220599
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.0025458879536017776
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.0025411149254068732
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.0025403000181540847
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.002542058937251568
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.002535217092372477
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.002535523963160813
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0025430689565837383
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0025559260975569487
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.002541388035751879
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.00258273899089545
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0025441859615966678
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0025366569170728326
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.002537111984565854
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0025377339916303754
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0025449490640312433
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0025461080949753523
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.002536230953410268
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0025453229900449514
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0025413749972358346
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0025403599720448256
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.002563909045420587
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0025433440459892154
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.002544907038100064
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0025396610144525766
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.002542858012020588
atax,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.002536771004088223
