benchmark,kind,domain,dwarf,framework,mode,details,validated,time
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0004276969702914357
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.00034666096325963736
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0003423719899728894
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.00033525400795042515
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.00033480103593319654
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0003325180150568485
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.00033816590439528227
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.00034081307239830494
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0003366010496392846
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.00033953506499528885
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00036345503758639097
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0003602840006351471
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00036347995046526194
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0003580979537218809
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0003449439536780119
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00035162700805813074
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0003403789596632123
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00034420506563037634
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00034793303348124027
atax,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00034833792597055435
