benchmark,kind,domain,dwarf,framework,mode,details,validated,time
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,strict,True,2.981713462038897
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,strict,True,3.6457688770024106
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,strict,True,3.658568274928257
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,strict,True,3.573573941946961
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,strict,True,3.5638987069251016
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,strict,True,2.970599186955951
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,strict,True,2.341711017070338
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,strict,True,2.3291113330051303
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,strict,True,2.320932327071205
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,strict,True,2.2935300261015072
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,fusion,True,3.4626807488966733
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,fusion,True,3.6326125530758873
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,fusion,True,3.4531494330149144
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,fusion,True,3.4642697769450024
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,fusion,True,3.5327498719561845
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,fusion,True,3.432322286069393
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,fusion,True,3.464241018053144
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,fusion,True,3.429984604008496
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,fusion,True,3.538678164011799
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,fusion,True,3.537965632043779
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,parallel,True,2.4091380150057375
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,parallel,True,2.3217258719960228
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,parallel,True,2.2746736709959805
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,parallel,True,2.3572383490391076
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,parallel,True,2.350420444039628
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,parallel,True,2.3065710730152205
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,parallel,True,2.3371253149816766
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,parallel,True,2.322387569001876
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,parallel,True,2.181867348961532
azimhist,microapp,Chemistry,spectral_methods,DaCe,main,parallel,True,2.2953859319677576
