benchmark,kind,domain,dwarf,framework,mode,details,validated,time
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode,True,1.092196398996748
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode,True,1.0926905309897847
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode,True,1.0918402929673903
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode,True,1.090799871017225
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode,True,1.0912471379851922
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode,True,1.0913093659910373
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode,True,1.0911160850082524
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode,True,1.091084603976924
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode,True,1.09118477901211
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode,True,1.0910968750249594
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_parallel,True,1.2429453199729323
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_parallel,True,1.2344071819679812
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_parallel,True,1.2386364429839887
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_parallel,True,1.2381687230081297
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_parallel,True,1.2399402679875493
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_parallel,True,1.2348135060165077
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_parallel,True,1.2401734059676528
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_parallel,True,1.2392037350218743
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_parallel,True,1.244004744978156
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_parallel,True,1.238137616950553
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_prange,False,0.0007558189681731164
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_prange,False,0.0005852620233781636
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_prange,False,0.0004904839443042874
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_prange,False,0.0005315330345183611
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_prange,False,0.0005639040027745068
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_prange,False,0.0006316070212051272
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_prange,False,0.0005621970049105585
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_prange,False,0.0005034839850850403
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_prange,False,0.0007897079922258854
azimnaiv,microapp,Chemistry,spectral_methods,Numba,main,nopython_mode_prange,False,0.0007055550231598318
