benchmark,kind,domain,dwarf,framework,mode,details,validated,time
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.0016561989905312657
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.0016357810236513615
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.0016767920460551977
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.0016375629929825664
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.0016017579473555088
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.0015982880722731352
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.0015842539723962545
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.001585224992595613
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.0016600900562480092
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.001581197022460401
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0016285560559481382
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0015615819720551372
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0015533360419794917
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0016130659496411681
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.001545996987260878
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0015502189053222537
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0015352119226008654
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.001535716000944376
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0015856110258027911
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.0015224110102280974
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0015683219535276294
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0016792330425232649
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0016056220047175884
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0015675059985369444
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0015480190049856901
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0015582690248265862
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.001535909017547965
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0016280009876936674
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0015404840232804418
bicg,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.0015421960270032287
