benchmark,kind,domain,dwarf,framework,mode,details,validated,time
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,1.0516152090858668
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,1.0527517750160769
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,1.0540085739921778
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,1.035667204996571
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,1.010155359050259
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,1.037814102950506
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,1.010270165046677
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,1.0075721309985965
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,1.0091720019700006
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,1.0096185508882627
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,1.06988546194043
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,1.0701358210062608
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,1.0682276469888166
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,1.0679708720417693
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,1.0686843990115449
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,1.064720168011263
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,1.0610902339685708
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,1.0616231400053948
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,1.0610453529516235
cholesky,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,1.0636675040004775
