benchmark,kind,domain,dwarf,framework,mode,details,validated,time
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.4857852739514783
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.4857801579637453
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.4858969459310174
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.4862622289219871
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.4858582039596513
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.4856249319855124
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.48697508696932346
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.4863113289466128
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.48588423198089004
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.4856687029823661
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_prange,False,1.0283481950173154
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_prange,False,1.018838778953068
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_prange,False,1.0177643180359155
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_prange,False,1.0231600650586188
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_prange,False,1.0316097700269893
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_prange,False,1.020034054061398
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_prange,False,1.0288485980127007
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_prange,False,1.0991537009831518
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_prange,False,1.0117619950324297
cholesky,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_prange,False,1.04493468394503
