benchmark,kind,domain,dwarf,framework,mode,details,validated,time
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode,True,0.6042749889893457
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode,True,0.6053609339869581
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode,True,0.6043339879834093
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode,True,0.6040553720085882
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode,True,0.6042797049740329
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode,True,0.604385540005751
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode,True,0.6045665509882383
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode,True,0.6048741330159828
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode,True,0.6037845649989322
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode,True,0.6041279959608801
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode_parallel,True,0.6042309770127758
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode_parallel,True,0.6045506210066378
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode_parallel,True,0.6042796580004506
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode_parallel,True,0.6044332309975289
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode_parallel,True,0.6039305700105615
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode_parallel,True,0.6040918249636889
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode_parallel,True,0.6041092480299994
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode_parallel,True,0.6042116259923205
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode_parallel,True,0.6051196359912865
clipping,microbench,Signals,monte_carlo,Numba,main,object_mode_parallel,True,0.6039961100323126
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode,True,0.28568767197430134
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode,True,0.28554655000334606
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode,True,0.2859246309963055
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode,True,0.28603560401825234
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode,True,0.285986730013974
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode,True,0.28565313399303705
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode,True,0.2858573920093477
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode,True,0.2857425090041943
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode,True,0.2854740180191584
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode,True,0.2857615710236132
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode_parallel,True,0.034930442983750254
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode_parallel,True,0.03511055698618293
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode_parallel,True,0.030557472025975585
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode_parallel,True,0.029916070983745158
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode_parallel,True,0.030186381947714835
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode_parallel,True,0.03004575299564749
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode_parallel,True,0.031322051014285535
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode_parallel,True,0.03088945400668308
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode_parallel,True,0.030735299980733544
clipping,microbench,Signals,monte_carlo,Numba,main,nopython_mode_parallel,True,0.03196143597597256
