benchmark,kind,domain,dwarf,framework,mode,details,validated,time
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.26277069398202
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.18507746799150482
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.18714156799251214
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.19296717504039407
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.14492773200618103
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.10661355400225148
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.11372938501881436
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.10646192298736423
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.10828182403929532
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.17285218398319557
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.058350867009721696
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03015625203261152
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03338745597284287
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.032068702043034136
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.031691926007624716
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03173143800813705
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03308798203943297
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.029489910986740142
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.02910477400291711
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03052352200029418
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.10549215698847547
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.1043591650086455
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.10302950104232877
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.10405973996967077
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.10438653401797637
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.10429497197037563
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.11054180795326829
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.1056455840007402
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.10445391299435869
conv2d,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.10729215398896486
