benchmark,kind,domain,dwarf,framework,mode,details,validated,time
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.021808116987813264
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.021701449993997812
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.02171317598549649
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.021669818030204624
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.02168324403464794
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.021695122006349266
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.021753588051069528
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.021634080971125513
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.02168519201222807
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.021705919003579766
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.02183326199883595
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.021709873981308192
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.021707136009354144
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.021670777001418173
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.021685754996724427
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.02168455597711727
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.02172150299884379
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.021651738963555545
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.021724731021095067
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.021628108981531113
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,0.021962439990602434
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,0.02176764199975878
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,0.021692257025279105
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,0.02172542503103614
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,0.021684190025553107
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,0.021689830988179892
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,0.021807437005918473
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,0.021760937001090497
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,0.02173042600043118
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,0.021669115987606347
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,0.06440567300887778
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,0.06431625096593052
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,0.06431873503606766
conv2d,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,0.06431950099067762
