benchmark,kind,domain,dwarf,framework,mode,details,validated,time
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.08688701607752591
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.08755151205696166
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.0828316790284589
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.0895624440163374
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.0818723461125046
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.08674133103340864
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.08145817904733121
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.08659911097493023
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.08184968796558678
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.08735710196197033
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.08283636602573097
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.07703312707599252
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.07767666294239461
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.07733205892145634
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.07785054692067206
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.07737827196251601
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.07925048400647938
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.0789314970606938
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.07891243300400674
correlat,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.07827419100794941
