benchmark,kind,domain,dwarf,framework,mode,details,validated,time
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.26127761707175523
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.268512538052164
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.26700725709088147
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.27540233999025077
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.2665000510169193
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.2522175359772518
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.3596522390143946
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.4172935859533027
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.40474794793408364
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.4045586809515953
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.32895401504356414
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.31908983492758125
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.31900025391951203
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.32074697595089674
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.3244872579816729
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.3028987819561735
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.2531487459782511
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.25315656303428113
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.2515192599967122
covarian,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.2548318860353902
