benchmark,kind,domain,dwarf,framework,mode,details,validated,time
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.04551007901318371
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.04441502003464848
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.044117611018009484
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.04404736601281911
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.043841946055181324
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.04422673990484327
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.046732506016269326
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.044421816943213344
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.04447824298404157
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.04476323595736176
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.045615426963195205
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.04467476194258779
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.04486523999366909
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.044788546045310795
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.04457552696112543
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.045182422967627645
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.04915393306873739
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.04568606708198786
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.04538070992566645
covarian,microbench,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.04520336992572993
covarian,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,1.6144418719923124
covarian,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,1.5651496550999582
covarian,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,1.506625841022469
covarian,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,1.4613830369198695
covarian,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,1.4862992060370743
covarian,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,1.4609004840021953
covarian,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,1.4928930000169203
covarian,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,1.461131185060367
covarian,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,1.4759518739301711
covarian,microbench,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,1.4521049440372735
