benchmark,kind,domain,dwarf,framework,mode,details,validated,time
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode,True,0.0007974610198289156
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode,True,0.0007499989587813616
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode,True,0.000722709926776588
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode,True,0.000722154974937439
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode,True,0.0007250260096043348
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode,True,0.000722600962035358
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode,True,0.0007215309888124466
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode,True,0.000722832977771759
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode,True,0.0007241489365696907
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode,True,0.0007183409761637449
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode_parallel,True,0.0007329439977183938
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode_parallel,True,0.0007209019968286157
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode_parallel,True,0.0007222050335258245
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode_parallel,True,0.0007232039934024215
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode_parallel,True,0.0007221160922199488
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode_parallel,True,0.0007246710592880845
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode_parallel,True,0.0007222740678116679
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode_parallel,True,0.0007224109722301364
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode_parallel,True,0.0007231089984998107
crc16,microbench,Other,combinatorial,Numba,main,nopython_mode_parallel,True,0.0007232780335471034
