benchmark,kind,domain,dwarf,framework,mode,details,validated,time
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode,True,0.42897259700112045
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode,True,0.43512997892685235
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode,True,0.41156403301283717
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode,True,0.4148689330322668
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode,True,0.40613331901840866
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode,True,0.4057330429786816
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode,True,0.4055951900081709
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode,True,0.4072400979930535
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode,True,0.3891850709915161
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode,True,0.3903344109421596
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.3927867660531774
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.3816049019806087
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.3843911949079484
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.38513502397108823
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.38547405996359885
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.38506542006507516
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.388005536980927
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.41177432402037084
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.3979172360850498
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,object_mode_parallel,True,0.39912784507032484
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,nopython_mode,True,0.3857612400315702
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,nopython_mode,True,0.38498872506897897
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,nopython_mode,True,0.38508342404384166
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,nopython_mode,True,0.3860069669317454
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,nopython_mode,True,0.3860334230121225
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,nopython_mode,True,0.3790090309921652
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,nopython_mode,True,0.3757692170329392
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,nopython_mode,True,0.37946454097982496
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,nopython_mode,True,0.37656823301222175
doitgen,microbench,Chemistry,dense_linear_algebra,Numba,main,nopython_mode,True,0.3757080410141498
