benchmark,kind,domain,dwarf,framework,mode,details,validated,time
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.013953763991594315
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.013728449936024845
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.013615056057460606
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.013472981052473187
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.01357427192851901
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.013493221951648593
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.013601153041236103
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.013568097958341241
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.013495607068762183
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,0.013812566990964115
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,1.0467650020727888
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.9715038139838725
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.9898856899235398
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.9833357930183411
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.9826503230724484
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.9833720519673079
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.9829881319310516
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.976280304021202
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,1.0004717690171674
durbin,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.9886080030119047
