benchmark,kind,domain,dwarf,framework,mode,details,validated,time
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,strict,True,0.3711989700095728
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,strict,True,0.3719017419498414
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,strict,True,0.3713780300458893
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,strict,True,0.3702541780658066
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,strict,True,0.37111267796717584
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,strict,True,0.37199054192751646
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,strict,True,0.3704124849755317
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,strict,True,0.37016909196972847
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,strict,True,0.37080320599488914
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,strict,True,0.3728511770023033
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,fusion,True,0.1753096430329606
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,fusion,True,0.1771096249576658
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,fusion,True,0.17749250098131597
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,fusion,True,0.17471776402089745
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,fusion,True,0.1759057359304279
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,fusion,True,0.17694988893344998
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,fusion,True,0.17535231891088188
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,fusion,True,0.17482175398617983
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,fusion,True,0.17522778501734138
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,fusion,True,0.1743078778963536
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,parallel,True,0.17497708601877093
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,parallel,True,0.17454658402130008
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,parallel,True,0.1751478889491409
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,parallel,True,0.17424591700546443
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,parallel,True,0.1750128340208903
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,parallel,True,0.17430183698888868
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,parallel,True,0.17479756590910256
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,parallel,True,0.17437184101436287
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,parallel,True,0.17499251395929605
fdtd_2d,microbench,Physics,structured_grids,DaCe GPU,main,parallel,True,0.1757978720124811
