benchmark,kind,domain,dwarf,framework,mode,details,validated,time
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,8.285671071032993
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,8.286001101019792
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,8.289253840921447
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,8.286794155021198
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,8.285479368991219
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,8.284268269082531
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,8.294227391015738
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,8.28271079203114
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,8.290786751080304
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,8.288133746944368
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,1.7464663800783455
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,1.7343644079519436
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,1.739970343071036
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,1.737337995087728
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,1.736205488909036
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,1.7355852130567655
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,1.736778130987659
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,1.7339863519882783
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,1.7352577390847728
fdtd_2d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,1.730317889014259
