benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gemm,microbench,LinAlg,dense_linear_algebra,CuPy GPU,main,cupy,True,0.00475311279296875
gemm,microbench,LinAlg,dense_linear_algebra,CuPy GPU,main,cupy,True,0.0044403076171875
gemm,microbench,LinAlg,dense_linear_algebra,CuPy GPU,main,cupy,True,0.004438877105712891
gemm,microbench,LinAlg,dense_linear_algebra,CuPy GPU,main,cupy,True,0.004426002502441406
gemm,microbench,LinAlg,dense_linear_algebra,CuPy GPU,main,cupy,True,0.004431486129760742
gemm,microbench,LinAlg,dense_linear_algebra,CuPy GPU,main,cupy,True,0.004433155059814453
gemm,microbench,LinAlg,dense_linear_algebra,CuPy GPU,main,cupy,True,0.004431724548339844
gemm,microbench,LinAlg,dense_linear_algebra,CuPy GPU,main,cupy,True,0.0042226314544677734
gemm,microbench,LinAlg,dense_linear_algebra,CuPy GPU,main,cupy,True,0.004216670989990234
gemm,microbench,LinAlg,dense_linear_algebra,CuPy GPU,main,cupy,True,0.00442814826965332
