benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.01320025697350502
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.01290549198165536
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.013133039930835366
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.013132303021848202
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.01296278100926429
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.01289812196046114
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.012925432994961739
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.012959041050635278
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.013080987031571567
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.013282658997923136
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.012660995009355247
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.011356857954524457
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.011702619027346373
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.010748845990747213
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.010831483057700098
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.011216680984944105
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.010933179059065878
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.010724622057750821
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.01117211696691811
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.011151453014463186
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.010663941036909819
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.010930078104138374
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.010677432990632951
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.011003356077708304
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.010784458019770682
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.01066586293745786
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.010794091038405895
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.010552756953984499
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.010741424048319459
gemm,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.010544050019234419
