benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.061379416030831635
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.061333937919698656
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.061201812932267785
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.06100522505585104
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.061439329059794545
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0614561130059883
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.06452245800755918
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.06682678998913616
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.06134063797071576
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.061048467992804945
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0471892049536109
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.043936855043284595
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.04251841607037932
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.039295227034017444
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.03938642609864473
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.04006629902869463
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.039655265980400145
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.038983148988336325
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.04124355304520577
gemm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.03952525393106043
