benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03308788500726223
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.033310070051811635
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.031008402002044022
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.043256486067548394
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03130490705370903
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03056264400947839
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03438842995092273
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03481268498580903
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03145580005366355
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.020705805043689907
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.019571318989619613
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.017861127969808877
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.017941905069164932
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.017788012977689505
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.021782702999189496
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.019543968955986202
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.020528635010123253
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.020257199998013675
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.020525350933894515
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.01995954499579966
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.02153850393369794
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.020225642016157508
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.019674589042551816
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.021858211024664342
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.022846269072033465
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.021463147015310824
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.022111142054200172
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.020128800999373198
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.02045162406284362
gesummv,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.020328972954303026
