benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.04321781301405281
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.043093459913507104
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.043347768019884825
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.04329424200113863
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.04334583296440542
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.04473067494109273
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.04304146103095263
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.04258982103783637
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.042881803936325014
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.04266853304579854
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.009493442950770259
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.009828030015341938
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.009557723067700863
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.010203899000771344
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.009570974041707814
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.011057142983190715
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.010231798980385065
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.010525209014303982
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.009696042980067432
gesummv,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.009794985060580075
