benchmark,kind,domain,dwarf,framework,mode,details,validated,time
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03465042996685952
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.0347804450429976
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.035146713024005294
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03509827295783907
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.037888263002969325
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03501978795975447
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03512106498237699
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03531533305067569
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03467219602316618
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.03141060599591583
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.03073033003602177
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.030938467010855675
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.03078396199271083
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.03056537499651313
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.030548133072443306
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.030356173985637724
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.03168365592136979
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.030363891972228885
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0304897699970752
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.031060829060152173
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.03253999596927315
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.03301082504913211
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.03197882906533778
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.032055970979854465
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0319946079980582
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.03180540993344039
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.03254742606077343
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0317712799878791
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.032165092998184264
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.03249901905655861
