benchmark,kind,domain,dwarf,framework,mode,details,validated,time
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.16178716497961432
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.16150060505606234
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.17504144797567278
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.1751862089149654
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.16709419596008956
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.16247695602942258
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.16151049791369587
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.16209487605374306
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.16141202300786972
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,strict,True,0.16199598100502044
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.1626213249983266
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.16177534800954163
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.1621151389554143
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.1619816409656778
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.16149787697941065
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.16186786605976522
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.1625445990357548
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.16250957595184445
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.16198171104770154
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,fusion,True,0.1620965990005061
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.16281292494386435
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.16242679697461426
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.1628453138982877
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.16266380192246288
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.1626047759782523
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.16240230097901076
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.16234436200466007
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.16290559305343777
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.16622534196358174
npgofast,microbench,LinAlg,dense_linear_algebra,DaCe GPU,main,parallel,True,0.1633433549432084
