benchmark,kind,domain,dwarf,framework,mode,details,validated,time
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.22416865598643199
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.22438674501609057
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.22461958200437948
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.2246875009732321
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.22463072702521458
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.22459251899272203
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.2246605349937454
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.22464418900199234
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.22465950099285692
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.22463280498050153
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.029079247964546084
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.029382601962424815
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.029945778020191938
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.030088676954619586
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0307160010561347
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.030241660017054528
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.029578284011222422
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.031306885997764766
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.02972089999821037
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.029731366026680917
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.030875139986164868
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.0298977320198901
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.029950068972539157
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.032576466037426144
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.031337060034275055
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.030712591018527746
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.03199605399277061
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.032289940980263054
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.030357288022059947
npgofast,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.032554289035033435
