benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,strict,False,3.232321211020462
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,strict,False,1.4665906520094723
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,strict,False,0.8142616030527279
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,strict,False,0.8722763190744445
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,strict,False,0.2769064629683271
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,strict,False,0.2572014589095488
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,strict,False,0.25721955695189536
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,strict,False,0.2532738579902798
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,strict,False,0.26396843104157597
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,strict,False,0.26525263499934226
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,False,0.2837890270166099
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,False,0.26226832694374025
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,False,0.27179381798487157
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,False,0.26693623396568
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,False,0.2819005639757961
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,False,0.2842178069986403
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,False,0.27480580599512905
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,False,0.2525755160022527
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,False,0.5513911769958213
gramschm,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,False,0.6929166779154912
