benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,False,0.05941254901699722
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,False,0.0588881770381704
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,False,0.058900596923194826
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,False,0.0418955780332908
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,False,0.035402090987190604
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,False,0.035305345081724226
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,False,0.03531108296010643
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,False,0.03531320800539106
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,False,0.0358105159830302
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,False,0.035303398966789246
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,7.032185486052185
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,7.1872171519789845
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,6.912544618942775
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,6.893368778983131
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,6.907689815037884
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,7.091625433997251
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,6.930086798965931
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,6.931534476927482
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,6.963900177972391
gramschm,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,6.872539009083994
