benchmark,kind,domain,dwarf,framework,mode,details,validated,time
hdiff,microapp,Weather,structured_grids,DaCe,main,strict,True,0.22848820709623396
hdiff,microapp,Weather,structured_grids,DaCe,main,strict,True,0.21612943592481315
hdiff,microapp,Weather,structured_grids,DaCe,main,strict,True,0.17552602593787014
hdiff,microapp,Weather,structured_grids,DaCe,main,strict,True,0.20284408598672599
hdiff,microapp,Weather,structured_grids,DaCe,main,strict,True,0.19593628088478
hdiff,microapp,Weather,structured_grids,DaCe,main,strict,True,0.17412976291961968
hdiff,microapp,Weather,structured_grids,DaCe,main,strict,True,0.17714295897167176
hdiff,microapp,Weather,structured_grids,DaCe,main,strict,True,0.17778310307767242
hdiff,microapp,Weather,structured_grids,DaCe,main,strict,True,0.1782322230283171
hdiff,microapp,Weather,structured_grids,DaCe,main,strict,True,0.17420351307373494
hdiff,microapp,Weather,structured_grids,DaCe,main,fusion,True,0.06932941195555031
hdiff,microapp,Weather,structured_grids,DaCe,main,fusion,True,0.06448996707331389
hdiff,microapp,Weather,structured_grids,DaCe,main,fusion,True,0.0668463580077514
hdiff,microapp,Weather,structured_grids,DaCe,main,fusion,True,0.069164521060884
hdiff,microapp,Weather,structured_grids,DaCe,main,fusion,True,0.08124053501524031
hdiff,microapp,Weather,structured_grids,DaCe,main,fusion,True,0.08094117406290025
hdiff,microapp,Weather,structured_grids,DaCe,main,fusion,True,0.07987454801332206
hdiff,microapp,Weather,structured_grids,DaCe,main,fusion,True,0.0756380909588188
hdiff,microapp,Weather,structured_grids,DaCe,main,fusion,True,0.08503536600619555
hdiff,microapp,Weather,structured_grids,DaCe,main,fusion,True,0.08149081899318844
hdiff,microapp,Weather,structured_grids,DaCe,main,parallel,True,0.08752545097377151
hdiff,microapp,Weather,structured_grids,DaCe,main,parallel,True,0.08827542094513774
hdiff,microapp,Weather,structured_grids,DaCe,main,parallel,True,0.08902700699400157
hdiff,microapp,Weather,structured_grids,DaCe,main,parallel,True,0.08704018394928426
hdiff,microapp,Weather,structured_grids,DaCe,main,parallel,True,0.0874407880473882
hdiff,microapp,Weather,structured_grids,DaCe,main,parallel,True,0.0860270099947229
hdiff,microapp,Weather,structured_grids,DaCe,main,parallel,True,0.08869050408247858
hdiff,microapp,Weather,structured_grids,DaCe,main,parallel,True,0.09016121795866638
hdiff,microapp,Weather,structured_grids,DaCe,main,parallel,True,0.08754320500884205
hdiff,microapp,Weather,structured_grids,DaCe,main,parallel,True,0.08913415390998125
