benchmark,kind,domain,dwarf,framework,mode,details,validated,time
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.05526549299247563
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.05431225197389722
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.05449496896471828
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.054455496952869
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.05442603095434606
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.054390607052482665
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.054425035952590406
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.05440818704664707
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.05451628006994724
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.05441951099783182
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.01798230200074613
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.017847644980065525
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.018116115941666067
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.01804113294929266
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.018093944061547518
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.018014230066910386
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.01789007696788758
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.01821799296885729
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.018082809052430093
hdiff,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.018089313991367817
