benchmark,kind,domain,dwarf,framework,mode,details,validated,time
heat3d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.6060515269637108
heat3d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.4781894780462608
heat3d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.47482893196865916
heat3d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.4752098130993545
heat3d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.47218246501870453
heat3d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.46904702100437135
heat3d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.5584258600138128
heat3d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.5029699659207836
heat3d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.5165778769878671
heat3d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.5074487719684839
heat3d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.06944047706201673
heat3d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.06308831798378378
heat3d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.06449248595163226
heat3d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.06389148195739836
heat3d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.05995134694967419
heat3d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.06114352704025805
heat3d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.06105295801535249
heat3d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.061072718002833426
heat3d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.06119601707905531
heat3d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.06628370098769665
heat3d,microbench,Physics,structured_grids,DaCe,main,parallel,True,0.040965884923934937
heat3d,microbench,Physics,structured_grids,DaCe,main,parallel,True,0.031471631955355406
heat3d,microbench,Physics,structured_grids,DaCe,main,parallel,True,0.03140548605006188
heat3d,microbench,Physics,structured_grids,DaCe,main,parallel,True,0.03284811496268958
heat3d,microbench,Physics,structured_grids,DaCe,main,parallel,True,0.0425292500294745
heat3d,microbench,Physics,structured_grids,DaCe,main,parallel,True,0.0311393829761073
heat3d,microbench,Physics,structured_grids,DaCe,main,parallel,True,0.03434175194706768
heat3d,microbench,Physics,structured_grids,DaCe,main,parallel,True,0.030970728024840355
heat3d,microbench,Physics,structured_grids,DaCe,main,parallel,True,0.030638583935797215
heat3d,microbench,Physics,structured_grids,DaCe,main,parallel,True,0.030751461978070438
