benchmark,kind,domain,dwarf,framework,mode,details,validated,time
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.19381281198002398
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.19378673995379359
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.19379720999859273
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.19377901498228312
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.19377601996529847
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.19377463404089212
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.1938623220194131
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.19472364999819547
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.19387680699583143
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.19377876992803067
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.07797586300875992
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.08237176097463816
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.07584678696002811
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.07533754606265575
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.07382339704781771
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.07404550304636359
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.07319500797893852
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.07267286605201662
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.07168859196826816
heat3d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.07159144000615925
