benchmark,kind,domain,dwarf,framework,mode,details,validated,time
jacobi1d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.7249198780627921
jacobi1d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.4949401500634849
jacobi1d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.47441479400731623
jacobi1d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.4472251209663227
jacobi1d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.4722636060323566
jacobi1d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.4428755579283461
jacobi1d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.3048616610467434
jacobi1d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.30534206598531455
jacobi1d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.3033078480511904
jacobi1d,microbench,Physics,structured_grids,DaCe,main,strict,True,0.3078244699863717
jacobi1d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.19522474601399153
jacobi1d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.19421812205109745
jacobi1d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.21661372296512127
jacobi1d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.12925778795033693
jacobi1d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.12182533298619092
jacobi1d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.12134540104307234
jacobi1d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.12419332494027913
jacobi1d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.12348101800307631
jacobi1d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.12665139697492123
jacobi1d,microbench,Physics,structured_grids,DaCe,main,fusion,True,0.12347217299975455
jacobi1d,microbench,Physics,structured_grids,DaCe,main,parallel,False,0.006830187980085611
jacobi1d,microbench,Physics,structured_grids,DaCe,main,parallel,False,0.008458817028440535
jacobi1d,microbench,Physics,structured_grids,DaCe,main,parallel,False,0.008887085015885532
jacobi1d,microbench,Physics,structured_grids,DaCe,main,parallel,False,0.008843926014378667
jacobi1d,microbench,Physics,structured_grids,DaCe,main,parallel,False,0.008913361001759768
jacobi1d,microbench,Physics,structured_grids,DaCe,main,parallel,False,0.008991524926386774
jacobi1d,microbench,Physics,structured_grids,DaCe,main,parallel,False,0.008984602056443691
jacobi1d,microbench,Physics,structured_grids,DaCe,main,parallel,False,0.009018671000376344
jacobi1d,microbench,Physics,structured_grids,DaCe,main,parallel,False,0.008776544011197984
jacobi1d,microbench,Physics,structured_grids,DaCe,main,parallel,False,0.00879767001606524
