benchmark,kind,domain,dwarf,framework,mode,details,validated,time
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.011780683998949826
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.011627610074356198
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.011531642987392843
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.011694049928337336
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.01147633499931544
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.011732050916180015
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.01145847502630204
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.011752022081054747
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.01174903498031199
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode,True,0.011500227963551879
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.44966121297329664
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.7859849509550259
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.44046833203174174
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.43985799700021744
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.4138292990392074
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.4141305750235915
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.41218439291696995
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.4256992250448093
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.44885654794052243
jacobi1d,microbench,Physics,structured_grids,Numba,main,nopython_mode_parallel,True,0.42321010306477547
