benchmark,kind,domain,dwarf,framework,mode,details,validated,time
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.08614718692842871
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.07774894696194679
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.06638934905640781
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.06094752601347864
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.06335885205771774
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.06563454191200435
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.06578878802247345
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.06359993200749159
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.057412959984503686
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.05966764304321259
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0702759160194546
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0699629980372265
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.06861382711213082
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.07057363097555935
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.0673736350145191
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.06692667794413865
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.06875271699391305
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.06884394900407642
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.06911339703947306
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.06724322901573032
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.07270010595675558
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.060232702060602605
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.062497575068846345
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.06888805003836751
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.06368255603592843
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.06787029397673905
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.06337878794874996
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.07007240003440529
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.06746266002301127
2mm,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.0547387960832566
