benchmark,kind,domain,dwarf,framework,mode,details,validated,time
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.06203988997731358
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.06141493399627507
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.06093305395916104
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.05863798304926604
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.05849078390747309
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.058302104007452726
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.05838232603855431
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.059375890996307135
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.06034874194301665
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.059883169014938176
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.05751908989623189
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.05773587210569531
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.057628549984656274
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.056001035030931234
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.056460457970388234
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.056053804932162166
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.06117263506166637
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.06102192506659776
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.05711081204935908
3mm,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.05668928998056799
