benchmark,kind,domain,dwarf,framework,mode,details,validated,time
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,0.16950651799561456
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,0.17351976700592786
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,0.1734322650008835
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,0.17098045197781175
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,0.17177201103186235
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,0.17239464999875054
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,0.1727114159730263
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,0.17400512599851936
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,0.17010201595257968
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,0.17307438602438197
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.18671226600417867
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.1548031569691375
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.15203385602217168
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.15052432601805776
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.1505257329554297
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.15138201403897256
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.15400492103071883
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.15365278802346438
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.1509785660309717
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.1523285600123927
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.16185538499848917
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.1708270880044438
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.1982744550332427
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.22586134599987417
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.22039805498206988
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.16138786997180432
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.16171008005039766
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.21993723302148283
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.22010969201801345
lenet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.16494457802036777
