benchmark,kind,domain,dwarf,framework,mode,details,validated,time
lu,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.865584853105247
lu,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.855338901048526
lu,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.915186466067098
lu,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.878307107021101
lu,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.8794076729100198
lu,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.8787060300819576
lu,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.8799454550025985
lu,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.912558357929811
lu,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.807963402941823
lu,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.862424699938856
lu,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.7749316348927096
lu,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.780108568025753
lu,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.7760247549740598
lu,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.7777202849974856
lu,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.796700728009455
lu,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.7955564650474116
lu,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.792233234969899
lu,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.78991011204198
lu,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.7892406210303307
lu,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.7896309959469363
