benchmark,kind,domain,dwarf,framework,mode,details,validated,time
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.57809859898407
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.5736115890322253
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.5756214880384505
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.575066120014526
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.5744051600340754
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.57481492892839
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.575961697031744
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.574812146020122
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.572970552952029
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.5723371079657227
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.5421952130272985
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.540011372999288
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.5421079080551863
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.541924398043193
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.540781543008052
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.5408658540109172
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.540357297984883
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.547483194968663
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.5438243279932067
lu,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.5411944690858945
