benchmark,kind,domain,dwarf,framework,mode,details,validated,time
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,4.014699655002914
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,4.024346278049052
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,4.009201034903526
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.9776363450801
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.994385374011472
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.9808058589696884
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,3.9922759879846126
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,4.032642255071551
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,4.058125347015448
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,4.0080283569404855
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,4.042257725028321
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,4.026114306994714
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,4.003788694972172
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.9969140470493585
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,4.009230739087798
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,4.001942144008353
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.996634187991731
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.9931892370805144
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,4.0005098099354655
ludcmp,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,3.995983566972427
