benchmark,kind,domain,dwarf,framework,mode,details,validated,time
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.7168277140008286
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.7130622980184853
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.7093855320708826
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.7129907950293273
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.71101104200352
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.710290896007791
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.7106777909211814
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.7096483618952334
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.6813665709923953
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode,True,3.67552719602827
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.608362706960179
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.60520111490041
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.604626936954446
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.6055962680839
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.605433724937029
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.606826429022476
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.6047586610075086
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.6044878870015964
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.6059023609850556
ludcmp,microbench,Solver,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,3.606122193974443
