benchmark,kind,domain,dwarf,framework,mode,details,validated,time
mandel1,microbench,Other,unstructured_grids,DaCe,main,strict,True,0.4897110239835456
mandel1,microbench,Other,unstructured_grids,DaCe,main,strict,True,0.44931728002848104
mandel1,microbench,Other,unstructured_grids,DaCe,main,strict,True,0.4567763019585982
mandel1,microbench,Other,unstructured_grids,DaCe,main,strict,True,0.45695729000726715
mandel1,microbench,Other,unstructured_grids,DaCe,main,strict,True,0.4469608970102854
mandel1,microbench,Other,unstructured_grids,DaCe,main,strict,True,0.44532082602381706
mandel1,microbench,Other,unstructured_grids,DaCe,main,strict,True,0.44937818800099194
mandel1,microbench,Other,unstructured_grids,DaCe,main,strict,True,0.45794836001005024
mandel1,microbench,Other,unstructured_grids,DaCe,main,strict,True,0.44830471696332097
mandel1,microbench,Other,unstructured_grids,DaCe,main,strict,True,0.4492517399485223
mandel1,microbench,Other,unstructured_grids,DaCe,main,fusion,True,0.4258698089979589
mandel1,microbench,Other,unstructured_grids,DaCe,main,fusion,True,0.4162021200172603
mandel1,microbench,Other,unstructured_grids,DaCe,main,fusion,True,0.4230843259720132
mandel1,microbench,Other,unstructured_grids,DaCe,main,fusion,True,0.4219002270256169
mandel1,microbench,Other,unstructured_grids,DaCe,main,fusion,True,0.41933087701909244
mandel1,microbench,Other,unstructured_grids,DaCe,main,fusion,True,0.42905555496690795
mandel1,microbench,Other,unstructured_grids,DaCe,main,fusion,True,0.4279204619815573
mandel1,microbench,Other,unstructured_grids,DaCe,main,fusion,True,0.4122587770107202
mandel1,microbench,Other,unstructured_grids,DaCe,main,fusion,True,0.4224495029775426
mandel1,microbench,Other,unstructured_grids,DaCe,main,fusion,True,0.42759845696855336
mandel1,microbench,Other,unstructured_grids,DaCe,main,parallel,True,0.4358399320044555
mandel1,microbench,Other,unstructured_grids,DaCe,main,parallel,True,0.4295350009924732
mandel1,microbench,Other,unstructured_grids,DaCe,main,parallel,True,0.4136601589852944
mandel1,microbench,Other,unstructured_grids,DaCe,main,parallel,True,0.4178173069958575
mandel1,microbench,Other,unstructured_grids,DaCe,main,parallel,True,0.4418752729543485
mandel1,microbench,Other,unstructured_grids,DaCe,main,parallel,True,0.428290459967684
mandel1,microbench,Other,unstructured_grids,DaCe,main,parallel,True,0.42702311102766544
mandel1,microbench,Other,unstructured_grids,DaCe,main,parallel,True,0.42022388899931684
mandel1,microbench,Other,unstructured_grids,DaCe,main,parallel,True,0.42902697500539944
mandel1,microbench,Other,unstructured_grids,DaCe,main,parallel,True,0.4230023709824309
