benchmark,kind,domain,dwarf,framework,mode,details,validated,time
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode,True,1.1352533570025116
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode,True,1.1426947729778476
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode,True,1.1286034479853697
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode,True,1.132269776018802
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode,True,1.1491208259831183
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode,True,1.12796835397603
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode,True,1.1363641869975254
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode,True,1.1334727319772355
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode,True,1.1286524249590002
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode,True,1.1505872900015675
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode_parallel,True,1.1356506290030666
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode_parallel,True,1.1307361199869774
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode_parallel,True,1.2751535039860755
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode_parallel,True,1.212282448017504
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode_parallel,True,1.1688325600116514
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode_parallel,True,1.158044189971406
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode_parallel,True,1.1722270379541442
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode_parallel,True,1.1607256660354324
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode_parallel,True,1.1523190270527266
mandel1,microbench,Other,unstructured_grids,Numba,main,object_mode_parallel,True,1.1783628140110523
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode,True,3.8390344029758126
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode,True,3.7231052290298976
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode,True,3.7373150069615804
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode,True,3.6509210860240273
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode,True,3.708343319944106
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode,True,3.6477688850136474
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode,True,3.683870934008155
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode,True,3.640967671002727
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode,True,3.6847945359768346
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode,True,3.7444762910017744
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_parallel,True,0.5188993500196375
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_parallel,True,0.4687754550250247
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_parallel,True,0.4678990209940821
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_parallel,True,0.4696003639837727
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_parallel,True,0.5359515059972182
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_parallel,True,0.4634378780028783
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_parallel,True,0.4640753410058096
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_parallel,True,0.4670739250141196
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_parallel,True,0.4651046270155348
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_parallel,True,0.46268506499473006
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_prange,True,0.19539061200339347
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_prange,True,0.19495713897049427
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_prange,True,0.19192708301125094
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_prange,True,0.19398048904258758
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_prange,True,0.19190550298662856
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_prange,True,0.19655539200175554
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_prange,True,0.19741490599699318
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_prange,True,0.1910037660272792
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_prange,True,0.19041555398143828
mandel1,microbench,Other,unstructured_grids,Numba,main,nopython_mode_prange,True,0.19293562998063862
