benchmark,kind,domain,dwarf,framework,mode,details,validated,time
mlp,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,0.00014125299639999866
mlp,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,4.390696994960308e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,3.8451049476861954e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,3.647198900580406e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,3.5917037166655064e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,3.6588055081665516e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,3.575498703867197e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,3.522902261465788e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,3.5144039429724216e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,3.507791552692652e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,False,9.386800229549408e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,False,2.026604488492012e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,False,1.9192928448319435e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,False,1.737801358103752e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,False,1.7559039406478405e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,False,1.7138896510004997e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,False,1.7501995898783207e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,False,1.724099274724722e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,False,1.6764970496296883e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,False,1.6623991541564465e-05
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.004211844992823899
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.00393708108458668
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.004006893024779856
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.00427152297925204
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.004303285968489945
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.004738618968985975
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.005098587018437684
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.004633830976672471
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.004463819088414311
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,False,0.005102823954075575
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,False,0.0013410330284386873
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,False,0.0012951500248163939
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,False,0.001303906086832285
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,False,0.0014489969471469522
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,False,0.0013005268992856145
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,False,0.0014101839624345303
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,False,0.0013578500365838408
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,False,0.0012290229788050056
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,False,0.0012954300036653876
mlp,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,False,0.0012787450104951859
