benchmark,kind,domain,dwarf,framework,mode,details,validated,time
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.00868413399439305
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.00786010199226439
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.0078800501069054
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.00787936500273645
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.007765359012410045
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.007762601948343217
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.007771941018290818
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.007854666910134256
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.007832603994756937
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,0.007823966909199953
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.008932298049330711
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.007944070035591722
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.008011583937332034
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.007896656985394657
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.007864375016652048
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.007850871072150767
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.007841930957511067
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.00795239198487252
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.007903655990958214
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,0.007907786988653243
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.00890985201112926
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.007592430105432868
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.008844398078508675
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.00754393998067826
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.010023336973972619
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.007491662981919944
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.008619735017418861
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.007452181074768305
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.007440315908752382
mvt,microbench,LinAlg,dense_linear_algebra,DaCe,main,parallel,True,0.010169295012019575
