benchmark,kind,domain,dwarf,framework,mode,details,validated,time
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.002074096933938563
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0018886510515585542
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0018885369645431638
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0018712769960984588
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0018661830108612776
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0018777980003505945
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0018732700264081359
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.00186442700214684
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0018615849548950791
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode,True,0.0018637250177562237
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.002659716992639005
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0023408300476148725
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.002189524006098509
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0021678550401702523
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.002122939913533628
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0021261039655655622
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.002175539033487439
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0021315269405022264
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0021271309815347195
mvt,microbench,LinAlg,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0021283230744302273
