benchmark,kind,domain,dwarf,framework,mode,details,validated,time
nbody,microapp,Physics,nbody,DaCe,main,strict,False,0.8880124459974468
nbody,microapp,Physics,nbody,DaCe,main,strict,False,0.85359160695225
nbody,microapp,Physics,nbody,DaCe,main,strict,False,0.8433864379767329
nbody,microapp,Physics,nbody,DaCe,main,strict,False,0.8281499150907621
nbody,microapp,Physics,nbody,DaCe,main,strict,False,0.805962743004784
nbody,microapp,Physics,nbody,DaCe,main,strict,False,0.819932849961333
nbody,microapp,Physics,nbody,DaCe,main,strict,False,0.8301791719859466
nbody,microapp,Physics,nbody,DaCe,main,strict,False,0.8343512410065159
nbody,microapp,Physics,nbody,DaCe,main,strict,False,0.8092083249939606
nbody,microapp,Physics,nbody,DaCe,main,strict,False,0.7986781299114227
nbody,microapp,Physics,nbody,DaCe,main,fusion,False,1.2804628170561045
nbody,microapp,Physics,nbody,DaCe,main,fusion,False,1.2857000429648906
nbody,microapp,Physics,nbody,DaCe,main,fusion,False,1.2746767440112308
nbody,microapp,Physics,nbody,DaCe,main,fusion,False,1.284616507939063
nbody,microapp,Physics,nbody,DaCe,main,fusion,False,1.2879063360160217
nbody,microapp,Physics,nbody,DaCe,main,fusion,False,1.2829463660018519
nbody,microapp,Physics,nbody,DaCe,main,fusion,False,1.314467882970348
nbody,microapp,Physics,nbody,DaCe,main,fusion,False,1.325641112984158
nbody,microapp,Physics,nbody,DaCe,main,fusion,False,1.3340324510354549
nbody,microapp,Physics,nbody,DaCe,main,fusion,False,1.3214083809871227
nbody,microapp,Physics,nbody,DaCe,main,parallel,False,1.3023329210700467
nbody,microapp,Physics,nbody,DaCe,main,parallel,False,1.29800335096661
nbody,microapp,Physics,nbody,DaCe,main,parallel,False,1.2914321209536865
nbody,microapp,Physics,nbody,DaCe,main,parallel,False,1.299032105016522
nbody,microapp,Physics,nbody,DaCe,main,parallel,False,1.2831050490494817
nbody,microapp,Physics,nbody,DaCe,main,parallel,False,1.3325654420768842
nbody,microapp,Physics,nbody,DaCe,main,parallel,False,1.3246131408959627
nbody,microapp,Physics,nbody,DaCe,main,parallel,False,1.317972150980495
nbody,microapp,Physics,nbody,DaCe,main,parallel,False,1.3131553339771926
nbody,microapp,Physics,nbody,DaCe,main,parallel,False,1.3139602919109166
