benchmark,kind,domain,dwarf,framework,mode,details,validated,time
nbody,microapp,Physics,nbody,Numba,main,object_mode,True,0.8696253820089623
nbody,microapp,Physics,nbody,Numba,main,object_mode,True,0.8699507240671664
nbody,microapp,Physics,nbody,Numba,main,object_mode,True,0.8693339499877766
nbody,microapp,Physics,nbody,Numba,main,object_mode,True,0.8692846229532734
nbody,microapp,Physics,nbody,Numba,main,object_mode,True,0.869791698991321
nbody,microapp,Physics,nbody,Numba,main,object_mode,True,0.8688984690234065
nbody,microapp,Physics,nbody,Numba,main,object_mode,True,0.8692136480240151
nbody,microapp,Physics,nbody,Numba,main,object_mode,True,0.868566496996209
nbody,microapp,Physics,nbody,Numba,main,object_mode,True,0.8699792000697926
nbody,microapp,Physics,nbody,Numba,main,object_mode,True,0.8687266940250993
nbody,microapp,Physics,nbody,Numba,main,object_mode_parallel,True,0.8704525390639901
nbody,microapp,Physics,nbody,Numba,main,object_mode_parallel,True,0.8693652900401503
nbody,microapp,Physics,nbody,Numba,main,object_mode_parallel,True,0.868352168938145
nbody,microapp,Physics,nbody,Numba,main,object_mode_parallel,True,0.8684621760621667
nbody,microapp,Physics,nbody,Numba,main,object_mode_parallel,True,0.8694971549557522
nbody,microapp,Physics,nbody,Numba,main,object_mode_parallel,True,0.8681861209915951
nbody,microapp,Physics,nbody,Numba,main,object_mode_parallel,True,0.8688913770020008
nbody,microapp,Physics,nbody,Numba,main,object_mode_parallel,True,0.8695074470015243
nbody,microapp,Physics,nbody,Numba,main,object_mode_parallel,True,0.8685203009517863
nbody,microapp,Physics,nbody,Numba,main,object_mode_parallel,True,0.8682207439560443
nbody,microapp,Physics,nbody,Numba,main,nopython_mode,True,0.1633806509198621
nbody,microapp,Physics,nbody,Numba,main,nopython_mode,True,0.16316449199803174
nbody,microapp,Physics,nbody,Numba,main,nopython_mode,True,0.16317960701417178
nbody,microapp,Physics,nbody,Numba,main,nopython_mode,True,0.16317648207768798
nbody,microapp,Physics,nbody,Numba,main,nopython_mode,True,0.1632218830054626
nbody,microapp,Physics,nbody,Numba,main,nopython_mode,True,0.16320953506510705
nbody,microapp,Physics,nbody,Numba,main,nopython_mode,True,0.16322082094848156
nbody,microapp,Physics,nbody,Numba,main,nopython_mode,True,0.16321004007477313
nbody,microapp,Physics,nbody,Numba,main,nopython_mode,True,0.16328967898152769
nbody,microapp,Physics,nbody,Numba,main,nopython_mode,True,0.16323008004110307
