benchmark,kind,domain,dwarf,framework,mode,details,validated,time
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode,True,0.03549074300099164
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode,True,0.03541730996221304
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode,True,0.03542196401394904
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode,True,0.035416839993558824
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode,True,0.03541339701041579
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode,True,0.03541530901566148
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode,True,0.035405511036515236
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode,True,0.03540602303110063
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode,True,0.03541232505813241
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode,True,0.035411690012551844
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode_parallel,True,0.0374297039816156
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode_parallel,True,0.037792582996189594
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode_parallel,True,0.03749705897644162
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode_parallel,True,0.037236939067952335
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode_parallel,True,0.03734669799450785
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode_parallel,True,0.03722026711329818
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode_parallel,True,0.037198383011855185
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode_parallel,True,0.03721418196801096
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode_parallel,True,0.03726220200769603
nussinov,microapp,Chemistry,dynamic_programming,Numba,main,nopython_mode_parallel,True,0.03725945204496384
