benchmark,kind,domain,dwarf,framework,mode,details,validated,time
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,1.2392707099788822
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,2.9494230509735644
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,2.16493307397468
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,1.756167910003569
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,1.7695112829678692
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,1.4680334170116112
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,2.265363102022093
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,1.4114341129898094
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,1.444887779012788
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,strict,True,2.316656654002145
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,1.7596586199942976
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,1.3758830029983073
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,2.8387881300295703
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,2.193205449031666
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,1.6046613900107332
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,1.4085428859689273
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,1.813425199012272
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,1.403474535967689
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,1.471732701989822
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,fusion,True,1.3302912769722752
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,2.1155006129993126
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,1.2163838859996758
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,2.3862403679522686
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,1.2492074980400503
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,1.404194105998613
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,1.496963279962074
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,1.206269524001982
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,1.2440324369817972
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,1.2668114200350828
resnet,microapp,Learning,dense_linear_algebra,DaCe,main,parallel,True,1.4450219519785605
