benchmark,kind,domain,dwarf,framework,mode,details,validated,time
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,2.1963792300084606
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,2.217684527975507
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,2.2275552260689437
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,2.224417674005963
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,2.2247789619723335
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,2.2269235260318965
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,2.1977964979596436
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,2.223904136917554
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,2.2262154390336946
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode,True,2.2173119069775566
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,2.240856730961241
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,2.2344659169903025
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,2.245583938085474
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,2.2354747200151905
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,2.2357135240454227
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,2.231655744020827
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,2.2364492639899254
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,2.2091588239418343
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,2.2305916890036315
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_parallel,True,2.229971388936974
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,2.229543759021908
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,2.2384672769112512
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,2.2292141260113567
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,2.2446601931005716
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,2.2429718510247767
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,2.2416400560177863
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,2.2395245280349627
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,2.2417226479155943
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,2.240930321975611
resnet,microapp,Learning,dense_linear_algebra,Numba,main,object_mode_prange,True,2.240759603912011
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,17.91881528601516
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,17.826543366070837
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,17.818542435998097
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,17.818166492972523
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,17.809508937993087
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,17.817188624991104
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,17.83164950401988
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,17.827059915987775
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,17.816353762988
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode,True,17.826821141061373
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,15.562503027031198
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,15.521650412934832
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,15.675336732994765
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,15.45538312708959
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,15.515728496015072
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,15.48606198199559
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,15.484467022004537
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,15.536526701995172
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,15.495011819060892
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_parallel,True,15.54021498200018
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.8161829710006714
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.6853598479647189
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.7051139469258487
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.7273622349603102
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.6972000469686463
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.7320140920346603
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.7121282609878108
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.6848237450467423
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.6931376970605925
resnet,microapp,Learning,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.6972307750256732
