benchmark,kind,domain,dwarf,framework,mode,details,validated,time
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode,True,0.3861771170049906
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode,True,0.3841858219821006
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode,True,0.3843260779976845
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode,True,0.38473729602992535
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode,True,0.3856836250051856
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode,True,0.38511695608031005
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode,True,0.3847581389127299
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode,True,0.38463641388807446
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode,True,0.3845370060298592
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode,True,0.3856991759967059
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.2891559340059757
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.3094061849405989
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.3474129419773817
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.3665768470382318
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.36254074901808053
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.3050568860489875
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.2350436900742352
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.30607041099574417
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.32616339705418795
sselfeng,microapp,Physics,dense_linear_algebra,Numba,main,nopython_mode_prange,True,0.3687296350253746
