benchmark,kind,domain,dwarf,framework,mode,details,validated,time
seidel2d,microbench,Solver,structured_grids,DaCe,main,strict,True,10.123311024042778
seidel2d,microbench,Solver,structured_grids,DaCe,main,strict,True,6.294790635933168
seidel2d,microbench,Solver,structured_grids,DaCe,main,strict,True,5.026506333029829
seidel2d,microbench,Solver,structured_grids,DaCe,main,strict,True,11.047352263936773
seidel2d,microbench,Solver,structured_grids,DaCe,main,strict,True,12.177132891025394
seidel2d,microbench,Solver,structured_grids,DaCe,main,strict,True,15.612087963963859
seidel2d,microbench,Solver,structured_grids,DaCe,main,strict,True,13.967545069055632
seidel2d,microbench,Solver,structured_grids,DaCe,main,strict,True,10.338141242973506
seidel2d,microbench,Solver,structured_grids,DaCe,main,strict,True,4.073582413955592
seidel2d,microbench,Solver,structured_grids,DaCe,main,strict,True,2.6865467780735344
seidel2d,microbench,Solver,structured_grids,DaCe,main,fusion,True,2.365438282955438
seidel2d,microbench,Solver,structured_grids,DaCe,main,fusion,True,2.366178630036302
seidel2d,microbench,Solver,structured_grids,DaCe,main,fusion,True,2.365033323992975
seidel2d,microbench,Solver,structured_grids,DaCe,main,fusion,True,2.4068873019423336
seidel2d,microbench,Solver,structured_grids,DaCe,main,fusion,True,2.421059707994573
seidel2d,microbench,Solver,structured_grids,DaCe,main,fusion,True,2.436263371957466
seidel2d,microbench,Solver,structured_grids,DaCe,main,fusion,True,2.403617601026781
seidel2d,microbench,Solver,structured_grids,DaCe,main,fusion,True,2.386896847980097
seidel2d,microbench,Solver,structured_grids,DaCe,main,fusion,True,2.3980889819795266
seidel2d,microbench,Solver,structured_grids,DaCe,main,fusion,True,2.408901783055626
seidel2d,microbench,Solver,structured_grids,DaCe,main,parallel,False,4.3560499619925395
seidel2d,microbench,Solver,structured_grids,DaCe,main,parallel,False,4.887978506973013
seidel2d,microbench,Solver,structured_grids,DaCe,main,parallel,False,1.5369617730611935
seidel2d,microbench,Solver,structured_grids,DaCe,main,parallel,False,0.8855206930311397
seidel2d,microbench,Solver,structured_grids,DaCe,main,parallel,False,0.9681160800391808
seidel2d,microbench,Solver,structured_grids,DaCe,main,parallel,False,0.9548231760272756
seidel2d,microbench,Solver,structured_grids,DaCe,main,parallel,False,0.9572297029662877
seidel2d,microbench,Solver,structured_grids,DaCe,main,parallel,False,0.910386485978961
seidel2d,microbench,Solver,structured_grids,DaCe,main,parallel,False,1.0455801750067621
seidel2d,microbench,Solver,structured_grids,DaCe,main,parallel,False,1.0931914950488135
