benchmark,kind,domain,dwarf,framework,mode,details,validated,time
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.053461552946828306
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.04802633298095316
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.05428312497679144
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.05432420701254159
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.0443258200539276
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.04456769907847047
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.0446353480219841
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.04504795907996595
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.04482382093556225
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,strict,True,0.04462814109865576
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03528128401376307
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.035217231954447925
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.035038690897636116
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03504886198788881
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03497685899492353
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03509847691748291
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.035125611000694335
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03490025596693158
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.035117766936309636
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,fusion,True,0.03522517706733197
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.04339226894080639
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.04172703204676509
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.040617838967591524
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.040450579952448606
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.03570477897301316
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.03678325400687754
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.03583535400684923
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.03499367902986705
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.03510168904904276
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,parallel,True,0.03493503504432738
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,vec,True,0.03977497399318963
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,vec,True,0.03989904501941055
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,vec,True,0.039619154995307326
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,vec,True,0.03973686706740409
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,vec,True,0.03952090092934668
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,vec,True,0.0396425990620628
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,vec,True,0.03978205600287765
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,vec,True,0.03933025407604873
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,vec,True,0.03965386492200196
softmax,microbench,Learning,dense_linear_algebra,DaCe,main,vec,True,0.039330158033408225
