benchmark,kind,domain,dwarf,framework,mode,details,validated,time
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,strict,True,0.020907451980747283
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,strict,True,0.020429535070434213
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,strict,True,0.020395764033310115
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,strict,True,0.019947299966588616
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,strict,True,0.02119291597045958
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,strict,True,0.019894825061783195
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,strict,True,0.01983769191429019
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,strict,True,0.019834073027595878
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,strict,True,0.019930812995880842
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,strict,True,0.019920528051443398
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,fusion,True,0.015879780985414982
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,fusion,True,0.014795207069255412
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,fusion,True,0.01493649696931243
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,fusion,True,0.01509750890545547
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,fusion,True,0.015481871087104082
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,fusion,True,0.014802652993239462
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,fusion,True,0.015722493059001863
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,fusion,True,0.014794357004575431
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,fusion,True,0.014791768975555897
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,fusion,True,0.01479339599609375
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,parallel,True,0.015038784011267126
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,parallel,True,0.01478959305677563
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,parallel,True,0.01521244493778795
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,parallel,True,0.014792124042287469
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,parallel,True,0.014792817062698305
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,parallel,True,0.014787580003030598
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,parallel,True,0.015453072963282466
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,parallel,True,0.01623736589681357
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,parallel,True,0.015541621018201113
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,parallel,True,0.014804631937295198
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,vec,True,0.019008224946446717
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,vec,True,0.017592199030332267
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,vec,True,0.01745921198744327
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,vec,True,0.017464985023252666
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,vec,True,0.018198588048107922
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,vec,True,0.017473274026997387
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,vec,True,0.017466610996052623
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,vec,True,0.017468423931859434
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,vec,True,0.018531830050051212
softmax,microbench,Learning,dense_linear_algebra,DaCe GPU,main,vec,True,0.01862405997235328
