benchmark,kind,domain,dwarf,framework,mode,details,validated,time
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode,True,0.00044986297143623233
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode,True,0.0004314330290071666
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode,True,0.00043257797369733453
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode,True,0.0004308359930291772
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode,True,0.0004321919986978173
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode,True,0.00043076701695099473
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode,True,0.00043081800686195493
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode,True,0.0004326339694671333
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode,True,0.00043078401358798146
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode,True,0.0004326410125941038
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0004444710211828351
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00043566100066527724
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00043438602006062865
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00043488398659974337
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_parallel,True,0.000432803004514426
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0004353440017439425
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00043208798160776496
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0004342789761722088
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_parallel,True,0.0004304790054447949
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_parallel,True,0.00043642695527523756
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_prange,True,0.0037527490057982504
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_prange,True,0.0011748039978556335
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_prange,True,0.0013073969748802483
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_prange,True,0.001144910987932235
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_prange,True,0.0011527410242706537
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_prange,True,0.0011746679665520787
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_prange,True,0.0011648839572444558
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_prange,True,0.001095957006327808
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_prange,True,0.0010775270056910813
spmv,microapp,Graphs,sparse_linear_algebra,Numba,main,nopython_mode_prange,True,0.001109760021790862
