benchmark,kind,domain,dwarf,framework,mode,details,validated,time
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,12.11266604193952
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,12.77628068299964
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,10.344853037036955
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,10.211827017948963
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,10.404634561971761
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,10.446303075994365
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,10.498387571075
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,10.363246480934322
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,10.17158472596202
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,strict,True,10.261126728029922
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,35.81780803401489
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,9.964336105971597
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,10.05454015696887
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,34.11270403896924
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,44.12317426991649
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,10.14319459500257
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,10.069665011949837
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,10.136221432941966
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,24.66003418096807
syrk,microbench,LinAlg,dense_linear_algebra,DaCe,main,fusion,True,10.2742054220289
