benchmark,kind,domain,dwarf,framework,mode,details,validated,time
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,0.011481766938231885
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,0.010748614091426134
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,0.010704564047046006
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,0.010709839989431202
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,0.01068905892316252
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,0.010665153036825359
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,0.010642788955010474
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,0.010650957003235817
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,0.01072136894799769
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,strict,True,0.010666053975000978
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,0.011240090010687709
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,0.011027986998669803
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,0.011040023993700743
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,0.011013196082785726
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,0.010987724992446601
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,0.010980243096128106
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,0.01096391398459673
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,0.010950904921628535
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,0.010953595046885312
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,fusion,True,0.010941709973849356
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,parallel,True,0.011510993004776537
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,parallel,True,0.011051520006731153
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,parallel,True,0.011050533968955278
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,parallel,True,0.011024525971151888
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,parallel,True,0.010995518998242915
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,parallel,True,0.010987260029651225
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,parallel,True,0.011021998012438416
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,parallel,True,0.011002508108504117
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,parallel,True,0.01100037107244134
trisolv,microbench,Solver,dense_linear_algebra,DaCe,main,parallel,True,0.01095544605050236
