benchmark,kind,domain,dwarf,framework,mode,details,validated,time
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.14013816497754306
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.13888287800364196
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.13845624099485576
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.1362340529449284
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.13594796496909112
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.13577553408686072
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.13592549308668822
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.13579074607696384
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.136118155089207
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,strict,True,0.13634258799720556
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.12660965300165117
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.12422508397139609
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.12309149291832
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.12466030195355415
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.12311350903473794
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.12333892192691565
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.12305937695782632
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.1226421749452129
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.12336089101154357
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,fusion,True,0.12296159495599568
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.12340878206305206
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.12230271904263645
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.12304533110000193
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.12236610392574221
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.12254666199441999
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.12400612595956773
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.12247136502992362
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.1223459739703685
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.12403521605301648
trisolv,microbench,Solver,dense_linear_algebra,DaCe GPU,main,parallel,True,0.12415634200442582
