benchmark,kind,domain,dwarf,framework,mode,details,validated,time
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.1374356800224632
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.13787369104102254
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.1374865680700168
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.13730810408014804
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.13832992292009294
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.13691127800848335
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.13734331808518618
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.13691972091328353
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.13625088008120656
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode,True,0.13693831395357847
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.1680509289726615
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.15876096801366657
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.15421947103459388
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.1422935089794919
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.15188718400895596
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.14237234694883227
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.14373076893389225
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.14731564093381166
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.14623270404990762
vadv,microapp,Weather,structured_grids,Numba,main,nopython_mode_parallel,True,0.13954461296088994
