benchmark,kind,domain,dwarf,framework,mode,details,validated,time
adi,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,1.2922069933265448
adi,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,1.354562958702445
adi,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,1.4441965073347092
adi,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,1.292854143306613
adi,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,1.3604894541203976
adi,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,1.4621904101222754
adi,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,1.4356786850839853
adi,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,1.4984333030879498
adi,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,1.5428128559142351
adi,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,1.4953689686954021
adi,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.5521434247493744
adi,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.5525711309164762
adi,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.6212782915681601
adi,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.552611168473959
adi,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.5518850572407246
adi,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.5520802158862352
adi,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.6439224276691675
adi,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.5472015105187893
adi,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.5486421920359135
adi,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.5481773726642132
adi,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.6131465714424849
adi,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.6143276114016771
adi,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.6743585355579853
adi,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.6133819315582514
adi,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.6140025798231363
adi,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.7238331865519285
adi,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.6130816899240017
adi,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.6137738712131977
adi,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.6121847089380026
adi,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.6800701208412647
adi,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.21101555973291397
adi,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.21088628843426704
adi,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.21094510704278946
adi,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.21083952486515045
adi,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.21055833995342255
adi,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.21055619604885578
adi,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.21162762865424156
adi,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.21020621806383133
adi,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.2789984531700611
adi,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.2110414281487465
