benchmark,kind,domain,dwarf,framework,mode,details,validated,time
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.008270738646388054
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.008152160793542862
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.008148999884724617
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.008098147809505463
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.008105909451842308
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.008139032870531082
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.00807255133986473
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.00801566056907177
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.00806817039847374
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.008055880665779114
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.007768493145704269
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.0077531300485134125
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.008000729605555534
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.007999490946531296
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.008043687790632248
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.0079864002764225
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.007956231012940407
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.007995698601007462
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.007985912263393402
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.00802743062376976
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.011782355606555939
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.009117450565099716
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.007759900763630867
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.007754528895020485
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.007746189832687378
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.007768590003252029
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.007734939455986023
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.007743475958704948
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.007752200588583946
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.007761187851428986
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.007714040577411652
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.007729839533567429
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.00770396925508976
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.007741909474134445
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.007724471390247345
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.007775837555527687
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.007760180160403252
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.0078123789280653
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.007784269750118256
atax,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.007742641493678093
